Description,Actions,Objects
preheat oven to 350 degrees,preheat,degrees
"place ribs in oven for 1 hour , turning once after 30 minutes",turn,"hour, minutes, place ribs"
3 times during cooking the ribs open foil wrap and drizzle ribs with sauce#1,cook,"drizzle, foil wrap, open foil, ribs, sauce#1, times"
"place all the ingredients for sauce#2 in a glass or plastic bowl , whisk well and set aside","place, set, whisk","bowl, glass, ingredients, plastic, sauce#2"
remove ribs from oven and place on serving platter,"remove, serve","place, platter, ribs"
offer both sauces at table to drizzle over ribs,"drizzle, offer","ribs, sauces, table"
"crumble cookies into a 9-inch pie plate , or cake pan",crumble,"cake, cake pan, crumble cookies, inch, inch pie plate, pie"
pat down to form an even layer,form,even layer
drizzle 1 cup of chocolate topping evenly over the cookies with a small spoon,top,"chocolate, cookies, cup, drizzle, small spoon"
scoop the vanilla ice cream on top of the chocolate and smooth down,"scoop, smooth","chocolate, ice, top, vanilla, vanilla ice cream"
cover with half of the sliced bananas,cover,"half, sliced bananas"
 cover the top with strawberry ice cream,cover,"strawberry ice cream, top"
cover and freeze until firm,"cover, freeze",firm
"before serving , top with 1 / 4 cup chocolate topping , whipped cream , and sliced bananas","serve, slice, whip","bananas, chocolate topping, cup, cup chocolate, whipped cream"
preheat oven to 350 degrees,preheat,degrees
"butter two 9x5"" loaf pans",pan,"9x5, butter, loaf"
cream the sugar and the butter until light and whipped,"cream, whip","butter, light, sugar"
"add the bananas , eggs , lemon juice , orange rind",add,"bananas, eggs, lemon, lemon juice, orange rind"
"be patient , and beat until the banana lumps are gone","beat, go","banana, banana lumps"
sift the dry ingredients together,sift,dry ingredients
fold lightly and thoroughly into the banana mixture,fold,"banana, banana mixture"
pour the batter into prepared loaf pans,"pour, prepare","batter, pans, prepared loaf"
"bake for 45 to 55 minutes , until the loaves are firm in the middle and the edges begin to pull away from the pans","begin, pull","bake, edges, loaves, middle, minutes, pans"
cool the loaves on racks for 30 minutes before removing from the pans,"cool, remove","loaves, minutes, pans, racks"
"in medium size bowl , coarsely mash cranberry sauce",,"cranberry sauce, mash, mash cranberry, medium size, size bowl"
stir in sour cream and horseradish until well blended,"blend, horseradish, stir",sour cream
"crush vanilla wafers into fine crumbs and line a square 8"" x8"" pan",line,"crush, crush vanilla, fine crumbs, wafers"
mix butter or margarine and sugar,mix,"butter, margarine, sugar"
spread the mixture over the wafer crumbs,spread,"mixture, wafer, wafer crumbs"
"crush strawberries and spread over sugar , egg , and butter mixture","crush, spread","butter, butter mixture, egg, strawberries, sugar"
cover strawberries with whipped cream,"cover, whip","strawberries, whipped cream"
in a very large sauce pan cover the beans and bouillon cubes in 3 inches of water,cover,"beans, bouillon, bouillon cubes, inches, large sauce pan, sauce, water"
"bring to a boil , cover , and let sit for 1 1 / 2 hours","bring, cover, let, sit","boil, hours"
preheat oven to 350 degrees f,preheat,"degrees, f"
drain and pour beans into a 9'x11' pan,drain,"9'x11, pan, pour, pour beans"
"add the rest over the ingredients , stir , and bake until all the water has evaporated , about 3 hours","add, bake, evaporate, stir","hours, ingredients, rest, water"
"remove from oven , cover , and let sit overnight","cover, let, remove, sit",
preheat oven to 350 degrees f,preheat,"degrees, f"
"add the next 5 cups of water , and bake until all the water has evaporated , about 3 hours","add, bake, evaporate","hours, next cups, water"
"serving suggestions: challah bread , steak , hamburgers",serve,"challah bread, hamburgers, steak, suggestions"
put prepared greens in large pot,put,"large pot, prepared greens"
"bring to a boil , and boil for one hour","boil, bring","boil, hour"
"add sugar , molasses , hot sauce , whiskey , and ham hock",add,"hot sauce, molasses, sugar, whiskey"
"bring to a boil again , and boil for another hour","boil, bring","boil, hour"
reduce heat and simmer for 4-6 hours,"reduce, simmer","heat, hours"
"during the last hour of cooking , add a little salt to taste","add, taste","cooking, last hour, little salt"
"dosage: one-half teaspoonful mixed in one-half glass of cold water , followed by a glass of hot water , one hour before each meal and upon retiring","follow, mix, retire","cold water, glass, half, half glass, half teaspoonful, hot water, hour, meal, mixed dosage"
this can be put in gelatin capsules,put,"gelatin, gelatin capsules"
00 capsules would contain the required amount for one dose,"contain, require","capsules, dose, required amount"
more can be taken with beneficial results,take,beneficial results
"dredge pork chops in mixture of flour , salt , dry mustard and garlic powder",dredge,"dry mustard, flour, garlic powder, mixture, pork, pork chops, salt"
brown in oil in a large skillet,oil,"large skillet, oil"
place browned pork chops in a crock pot,brown,"crock, crock pot, place, pork, pork chops"
"add the can of soup , undiluted",add,"can, soup"
cover and cook on low for 6-8 hours,"cook, cover",hours
sprinkle cornstarch on sheet pan,sprinkle,"cornstarch, sheet"
open up chile and place on egg roll wrapper with corner facing you,"face, open, place","chile, corner, egg, egg roll, roll wrapper"
"place cheese stick on chile and roll up , tucking in corners and moistening edges to seal","moisten, roll, seal, tuck","cheese stick, chile, corners, moistening edges"
"toss in cornstarch , dusting liberally","dust, toss",cornstarch
shake off excess cornstarch and deep fry in 350 oil to cover until lightly golden and cheese just starts to ooze out,"cover, ooze, shake, start","cheese, deep fry, excess cornstarch, oil"
drain on paper towels and keep warm in 250 oven,"drain, keep","paper, paper towels"
serve as a side dish or appetizer with your favorite mexican meal,"appetizer, serve","favorite mexican meal, side, side dish"
add your favorite condi- ments / sauces,add,"favorite condi- sauces, ments"
melt butterscotch chips in heavy saucepan over low heat,melt,"butterscotch, butterscotch chips, heavy saucepan, low heat"
fold in peanuts and chinese noodles until coated,"coat, fold","chinese noodles, peanuts"
drop by tablespoon onto waxed paper,wax,"drop, tablespoon, waxed paper"
let stand in cool place until firm,"let, stand","cool place, firm"
brown ground meat and onion in a large pot,brown,"brown ground meat, ground, large pot, onion"
add 1 / 4 cup of soy sauce,add,"cup, soy, soy sauce"
"thinly slice the entire bunch of celery , including the leaves","include, slice","celery, entire bunch, leaves"
add beef broth and celery,add,"beef, beef broth, celery"
reduce heat and simmer until celery is tender,reduce,"celery, heat, simmer"
"add more soy sauce if needed , to taste","add, need, taste","more soy sauce, soy"
serve as an open face sandwich over a hamburger bun,serve,"face sandwich, hamburger, hamburger bun, open face"
heat the oil or margarine in a soup pot and add the onion and garlic,"add, heat","garlic, margarine, oil, onion, soup, soup pot"
"saute over medium heat until the onion is golden , about 10 minutes",saute,"medium heat, minutes, onion"
"add the cauliflower , potatoes , water , and seasonings",add,"cauliflower, potatoes, seasonings, water"
there should be enough broth to cover all but about an inch of the veggies,cover,"enough broth, inch, veggies"
"bring to a simmer , then simmer gently covered until the veggies are tender , about 25 minutes","bring, cover, simmer","minutes, simmer, veggies"
remove from the heat transfer the vegetables from the soup pot to a food processor or blender and puree in batches until smooth,remove,"batches, blender, food, food processor, heat, heat transfer, soup, soup pot, vegetables"
puree about half of the beans with each of the two batches of vegetables,puree,"batches, beans, half, vegetables"
"transfer the puree back into the soup pot , stirring it back into whatever liquid remained","remain, stir, transfer","liquid, puree, soup, soup pot"
"let the soup stand for 1-2 hours before serving , then heat through as needed","heat, let, need, serve, stand","hours, soup"
ladle into soup bowls and garnish the tops with 2-3 garnishes,garnish,"garnishes, soup, soup bowls, tops"
bring water and salt to a boil,bring,"boil, salt, water"
"cut the potatoes in half lengthwise , and then into 1 / 2"" thick slices",cut,"half, half lengthwise, potatoes, thick slices"
boil over medium-high heat for twenty minutes,boil,"high heat, minutes"
add the spinach and boil another 10 minutes being careful to not overcook in order to maintain it's bright green color,"add, boil, maintain, overcook","bright green color, minutes, order, spinach"
"drain , reserving 1 1 / 4 cups cooking liquid","drain, reserve","cooking, cooking liquid, cups"
"in a food processor , process the potatoes and spinach until very smooth , adding the butter 1 / 2 t at a time","add, process","butter, food, food processor, potatoes, spinach, t, time"
return the puree to the pot and add the reserved liquid until the desired consistency,"add, desire, reserve, return","desired consistency, pot, puree, reserved liquid"
reheat slowly and season with salt and pepper,reheat,"pepper, salt, season"
ladle into shallow soup plates and garnish with nutmeg or shaved cheese,shave,"ladle, nutmeg, shallow soup plates, shaved cheese, soup"
"in a 3 qt saucepan over medium high heat , saute the onions and scallions in the apple juice and oil for 5 minutes , stirring frequently","saute, stir","apple, apple juice, medium high heat, minutes, oil, onions, qt, qt saucepan, scallions"
"add the spinach , parsley and celery",add,"celery, parsley, spinach"
"cook for 5-7 minutes , stirring occasionally add the broth , oats , salt , thyme and pepper","add, cook, stir","broth, minutes, oats, pepper, salt, thyme"
"bring to a boil , then lower the heat to medium","bring, lower, medium","boil, heat"
cover and simmer for 20 minutes,"cover, simmer",minutes
let the soup cool for 10 minutes,let,"minutes, soup"
"working in batches , puree in a blender until thick and smooth",work,"batches, blender"
"combine soup , egg and seasoned salt in a bowl and set aside","combine, set","bowl, egg, seasoned salt, soup"
"mix together flour , cornstarch , garlic powder , paprika , salt and pepper in a resealable plastic bag",mix,"cornstarch, flour, garlic powder, paprika, pepper, resealable plastic bag, salt"
dip chicken pieces into soup mixture and turn so as to coat all over,"coat, turn","chicken, dip, dip chicken pieces, soup, soup mixture"
"place chicken pieces in bag with flour mixture , seal bag and shake to coat chicken","coat, seal, shake","bag, chicken, flour, flour mixture, place chicken pieces"
place coated pieces of chicken on a platter and allow to set until the coating becomes doughy,"allow, become, coat, set","chicken, coating, doughy, pieces, place, platter"
"heat oil in a deep fryer or in a skillet over medium heat , using enough oil to cover chicken pieces when fried","cover, fry, use","chicken, chicken pieces, deep fryer, enough oil, heat, heat oil, medium heat, skillet"
"once chicken is doughy , fry pieces in oil for approx 5-8 minutes or until cooked through and juices run clear","cook, run","chicken, doughy, fry pieces, juices, minutes, oil"
drain pieces on paper towel and serve,"drain, serve","paper, paper towel, pieces"
"in a large bowl , mix flour , granulated sugar , baking powder and salt","bake, granulate","granulated sugar, large bowl, mix, mix flour, powder, salt"
"make a well in the center of the flour mixture , and pour in milk , vanilla , egg and 2 tablespoons oil","make, pour","center, egg, flour, flour mixture, milk, tablespoons, tablespoons oil, vanilla, well"
heat remaining vegetable oil to 400 degrees in a small deep fryer,"heat, remain","degrees, remaining vegetable oil, small deep fryer"
oil is hot enough when it starts to ripple,"ripple, start",oil
be careful not to overheat,overheat,
butter one side of each bread slice,butter,"bread, bread slice, side"
sprinkle the brown sugar and cinnamon evenly onto the buttered side of the bread slices,sprinkle,"bread, bread slices, brown sugar, buttered side, cinnamon"
make sandwiches by placing the slices of bread together with the brown sugar on the inside,"make, place","bread, brown sugar, inside, sandwiches, slices"
cut the sandwiches into quarters,cut,"quarters, sandwiches"
now is a good time to test the oil by dropping in a very small amount of batter,"drop, test","batter, good time, oil, small amount"
batter should sizzle and brown in about 20 seconds,sizzle,"batter, seconds"
oil needs to be hot enough to melt the brown sugar inside the sandwiches but not so hot that it scorches the batter,"melt, need, scorch","batter, brown sugar, oil, sandwiches"
dip the sandwiches into the batter mixture,dip,"batter, batter mixture, sandwiches"
"using deep fryer tongs , carefully place the battered sandwiches into the heated oil","batter, place, use","battered sandwiches, deep fryer, fryer tongs, heated oil"
be cautious when deep frying,deep fry, frying pan
try to avoid burns from splattering hot oil,"avoid, splatter, try",
remove sandwiches from the oil when they are golden brown,remove,"oil, sandwiches"
set aside to cool for a couple of minutes,"cool, set","couple, minutes"
sprinkle with powdered sugar and serve,"serve, sprinkle",powdered sugar
cut the butter into several pieces and bring to room temperature,"bring, cut","butter, room, room temperature, several pieces"
"in the top of a double boiler , combine egg yolks , lemon juice , salt and pepper",combine,"double boiler, egg, egg yolks, lemon, lemon juice, pepper, salt, top"
add a piece of butter,add,"butter, piece"
"cook , stirring steadily with a wooden spoon or wire whisk , over , but not touching , boiling water","boil, cook, stir, touch","boiling water, whisk, wire, wooden spoon"
"when butter melts and sauce begins to thicken , add remaining butter , stirring constantly until melted","add, begin, melt, remain, stir, thicken","butter, butter melts, remaining butter, sauce"
"continue cooking as sauce thickens , about 2 more minutes","continue, cook","minutes, sauce"
mix the spices together and store in an airtight container,"mix, store","airtight, airtight container, spices"
saute small amounts in butter / ghee to spice vegetables and grains,"saute, spice","butter, ghee, grains, small amounts, vegetables"
spray or oil a large pot,spray,"large pot, oil"
"chop the onion , hot peppers , and garlic and add to the pot","add, chop, garlic","hot peppers, onion, pot"
"chop remaining vegetables , add to pot and brown lightly","add, chop, remain","pot, remaining vegetables"
stir well and simmer at least 15 minutes,"simmer, stir",minutes
taste adjust spices to taste,"adjust, taste","spices, taste"
simmer an additional 15 minutes or so,simmer,additional minutes
"serve with garlic bread , toast , or on rice",serve,"garlic bread, rice, toast"
"in a slow cooker , combine the first nine ingredients",combine,"first ingredients, slow cooker"
cover and cook on low for 7-9 hours or until meat is tender,"cook, cover","hours, meat"
"add zucchini , cabbage , beans and macaroni",add,"beans, cabbage, zucchini"
cook on high 30-45 minutes more or until the vegetables are tender,cook,"high minutes, vegetables"
sprinkle individual servings with parmesan cheese,sprinkle,"individual servings, parmesan cheese"
preheat oven to 400 degrees,preheat,degrees
cut the potatoes into strips about 2 1 / 2 inches long by 1 / 4-inch thick,cut,"inch, inches, potatoes, strips"
soak the potatoes in ice water for five minutes,soak,"ice, ice water, minutes, potatoes"
"drain the potatoes , then rinse thoroughly under cold water","drain, rinse","cold water, potatoes"
press between paper towels to dry,dry,"paper, paper towels, press"
"transfer potatoes to a bowl , pour melted margarine over the potatoes and toss to coat them","coat, melt, pour, toss","bowl, melted margarine, potatoes, transfer, transfer potatoes"
spray baking sheet with non-stick spray,bake,"non - stick spray, sheet, spray"
spread potatoes onto baking sheet,spread,"baking, baking sheet, potatoes"
bake a final five minutes until the potatoes are brown and crisp,bake,"final minutes, potatoes"
"in 1 / 4 cup butter , saute carrots , onion , celery and broccoli stems for 5 minutes",stem,"broccoli, celery, cup, cup butter, minutes, onion, saute, saute carrots"
"add thyme , oregano and basil",add,"basil, thyme"
add wine and deglaze pan,add,"deglaze pan, wine"
add hot chicken stock and reduce by one-third,"add, reduce","chicken, hot chicken stock, third"
"add worcestershire sauce , tabasco , smoked chicken , beans and broccoli florets","add, smoke","beans, broccoli, florets, smoked chicken, worcestershire, worcestershire sauce"
"add cream , simmer 5 minutes more and season to taste","add, simmer, taste","cream, minutes, season"
"drop in remaining butter , piece by piece , stirring until melted and serve immediately","melt, remain, serve, stir","drop, piece, remaining butter"
"smoked chicken: on a covered grill , slightly smoke boneless chicken , cooking to medium rare","cook, cover, smoke","boneless, chicken, covered grill, smoke, smoke boneless chicken"
chef meskan uses applewood chips and does not allow the grill to become too hot,"allow, become, use","applewood, applewood chips, grill"
preheat oven to 350 degrees,preheat,degrees
grease 13 x 9 baking pan,bake,"grease, pan"
"in a large bowl , whisk together butter , sugar and vanilla",whisk,"butter, large bowl, sugar, vanilla"
add eggs and stir until well combined,"add, combine, stir",eggs
combine dry ingredients and blend well with wet ingredients,"blend, combine","dry ingredients, wet ingredients"
reserve 2 cups of batter and set aside,set,"batter, cups, reserve"
spread remaining batter in prepared pan,"remain, spread","prepared pan, remaining batter"
"arrange peppermint patties in a single layer over batter , about 1 / 2 inch apart",arrange,"batter, inch, peppermint, peppermint patties, single layer"
carefully spread reserved 2 cups of batter on top,"reserve, spread","batter, reserved cups, top"
bake for 50- 55 minutes or until brownies begin to pull away from sides of pan,"begin, pull","bake, brownies, minutes, pan, sides"
cool completely on wire rack and cut into squares,"cool, cut","squares, wire, wire rack"
heat oven to 375 degrees,oven,"degrees, heat"
brown ground beef and onion over medium heat,,"brown ground beef, ground, medium heat, onion"
"stir in tomato sauce , taco or other sauce , salt , pepper , tabasco , chiles , and cornmeal , adjusting for""hot"" taste preference and desired thickness","adjust, desire, stir","chiles, other sauce, pepper, salt, taste, taste preference, thickness, tomato, tomato sauce"
"stir in more cornmeal , if desired","desire, stir",more cornmeal
stir in corn and olives,stir,"corn, olives"
transfer mixture to casserole dish,transfer,"casserole, casserole dish, transfer mixture"
"cover and bake for 30 to 40 minutes , or until bubbly and heated through","bake, cover, heat","bubbly, minutes"
top with cheese immediately on removing from oven so cheese melts,remove,"cheese, top, top cheese melts"
garnish with corn chips just before serving to keep them crisp,"keep, serve","corn, corn chips"
"serve with a cool fresh vegetable such as cucumber slices , avocado , or lettuce leaves , if desired","avocado, desire, lettuce, serve","cool fresh vegetable, cucumber, cucumber slices, leaves"
cream the butter with the dressing mix,"cream, dress","butter, dressing mix"
spread evenly on the bread halves,spread,"bread, bread halves"
"place under the broiler for 2-3 minutes , until golden and the butter begins to seep and bubble","begin, seep","broiler, bubble, butter, minutes, place"
"in bowl , mix dry ingredients",mix,"bowl, dry ingredients"
add venison and mix well,"add, mix",venison
"add liquid ingredients and mix well with a fork , until bread crumbs are barely noticeable","add, mix","bread, bread crumbs, fork, liquid ingredients"
"on plastic wrap , form into 8 patties , making them round and very flat-- like a fast-food burger","form, make","fast food, flat--, food burger, patties, plastic wrap"
"they can be cooked immediately , but i prefer to freeze them first","cook, freeze, prefer",
place them on a large cookie sheet and freeze them several hours,"freeze, place","cookie, large cookie sheet, several hours"
remove from freezer and place waxed paper between each burger as you stack them,"remove, stack, wax","burger, freezer, paper, place"
i stack them in 2 1-quart freezer zip-lock bags,stack,"freezer, quart, quart freezer lock bags, zip, zip lock"
preheat cast iron skillet to very hot,preheat,"cast, cast iron skillet, iron"
cook frozen burgers until they are slightly charred on one side and then turn and cook until the other side is slightly charred and burgers are medium-well,"char, cook, turn","burgers, frozen burgers, medium well, other side, side"
turn burner off and leave burgers in the pan while you put condiments on your hamburger bun,"leave, put, turn","burgers, burner, condiments, hamburger, hamburger bun, pan"
"if cooking thawed burgers , cook about 2-3 minutes per side","cook, thaw","minutes, side, thawed burgers"
mix all the ingredients using a blender,"mix, use","blender, ingredients"
combine all ingredients in large pot,combine,"ingredients, large pot"
bring to a boil and simmer for 3 minutes,"bring, simmer","boil, minutes"
"i use the tomatoes that come flavored with basil , oregano , and garlic","flavor, use","basil, garlic, oregano, tomatoes"
you can substitute whatever vegetables you like,"like, substitute",vegetables
"if you don't want to use the zucchini , add a can of tomato sauce to give it some substance","add, give, use, want","can, substance, tomato, tomato sauce, zucchini"
preheat oven to 350 degrees,preheat,degrees
place spinach in strainer and squeeze all extra liquid from it,"place, squeeze","extra liquid, spinach, strainer"
"in a large bowl , combine spinach with the rest of ingredients , except croutons , and combine well",combine,"croutons, ingredients, large bowl, rest, spinach"
pour into a 2 quart casserole dish and top with croutons,pour,"casserole, croutons, quart casserole dish, top"
"bake for 35 to 40 minutes , or until bubbling around edges",bubble,"edges, minutes"
"cut potatoes into 1 / 2"" pieces",cut,"pieces, potatoes"
"cover , reduce heat , and simmer 15-20 minutes or until tender","cover, reduce, simmer","heat, minutes, tender"
"combine potato , chopped green onion , and pimemto in a large bowl","chop, combine","chopped green onion, large bowl, pimemto"
combine mayonnaise and next 9 ingredients,combine,"mayonnaise, next ingredients"
"add to potato mixture , tossing gently to coat","add, coat, toss","potato, potato mixture"
combine all ingredients in a large bowl and mix well,"combine, mix","ingredients, large bowl"
cover and refrigerate or freeze until ready to bake,"bake, cover, freeze, refrigerate",
preheat oven to 350 degrees,preheat,degrees
place on ungreased baking sheet and bake until light brown,,"bake, baking, place, ungreased baking sheet"
"brown onion and meat in the oil , drain any excess moisture",drain,"brown onion, excess moisture, meat, oil"
remove from heat and add both cans of soup and the veggies of your choice and stir,"add, remove, stir","cans, choice, heat, soup, veggies"
salt and pepper to taste,taste,"pepper, salt"
pour mixture into a greased 9x9 inch baking pan,"bake, pour","greased 9x9 inch, pan, pour mixture"
spoon the prepared cornbread mix over the top and spread even,"prepare, spoon, spread","cornbread, prepared cornbread mix, top"
"bake in a preheated 350 degree oven for 35-45 minutes , or until cornbread is done","do, oven","bake, cornbread, minutes, preheated degree"
"in a large pot , cook your angel hair pasta until almost al dente",cook,"al dente, angel, angel hair, hair pasta, large pot"
"drain well , put in a bowl and set aside","drain, put, set",bowl
"in a small tupperware container with a lid , mix sesame oil , soy sauce , honey , garlic and sesame seeds",mix,"garlic, honey, lid, seeds, sesame, sesame oil, small tupperware container, soy, soy sauce, tupperware"
"put the lid on the container and shake , shake , shake it like a polaroid picture","put, shake","container, lid, polaroid picture"
pour the sauce over the angel hair and toss well,"pour, toss","angel, angel hair, sauce"
the heat of the pasta will cook the garlic a bit so it won't be totally raw,cook,"bit, garlic, heat, pasta"
mix in the green onions and stir fry veggies,"mix, stir","fry veggies, green onions"
preheat oven to 375 degrees,preheat,degrees
"add the brown sugar , flour , cinnamon to a small bowl and cut in softened butter","add, cut, soften","brown sugar, cinnamon, flour, small bowl, softened butter"
when mixture is well mixed stir in chopped pecans,chop,"chopped pecans, mixed stir, mixture"
spray a 12-muffin tin with non-stick cooking spray and set aside,"set, spray","cooking, muffin, muffin tin, non - stick cooking spray"
"combine the flours , cocoa , baking powder , cinnamon , cloves , baking soda , and salt","bake, clove, combine","cinnamon, cocoa, flours, powder, salt, soda"
"lightly beat eggs with honey , sugar , oil , mashed yams and orange juice",beat,"eggs, honey, mashed yams, oil, orange juice, sugar"
"add the egg mixture and buttermilk alternately to the dry ingredients , stir until well blended","add, blend, stir","buttermilk, dry ingredients, egg, egg mixture"
add orange peel to batter mixing well,"add, batter, mix",orange peel
"spoon batter into prepared muffin tins , sprinkle lightly with strussel topping and bake in preheated oven for 15 to 20 minutes","bake, preheat, sprinkle","minutes, muffin, prepared muffin tins, spoon, spoon batter, strussel, strussel topping"
preheat oven to 375 degrees,preheat,degrees
spray muffin tin with non-stick cooking spray and set aside,set,"cooking, non - stick cooking spray, spray muffin tin"
place the raisins in a small bowl and pour the 1 / 4 cup boiling water over them,"boil, place, pour","cup, cup boiling water, raisins, small bowl"
cover and set aside while preparing batter,"cover, prepare, set",batter
"combine the flours , cocoa , baking powder , cinnamon , cloves , baking soda , and salt","bake, clove, combine","cinnamon, cocoa, flours, powder, salt, soda"
"lightly beat eggs with sorghum , oil , mashed yams and orange juice",beat,"eggs, mashed yams, oil, orange juice, sorghum"
"add the egg mixture and buttermilk alternately to the dry ingredients , stir until well blended","add, blend, stir","buttermilk, dry ingredients, egg, egg mixture"
drain the raisins and add to batter along with orange peel,"add, batter, drain",raisins
"spoon batter into prepared muffin tins , sprinkle 1 / 4 to 1 / 2 tsp of granulated sugar over each muffin","granulate, sprinkle","granulated sugar, muffin, prepared muffin tins, spoon, spoon batter, tsp"
bake in preheated oven for 15 to 20 minutes,preheat,minutes
brown the meat & drain fat,drain,"fat, meat"
"stir in sugar , mustard , beer , cayenne , garlic and salt & pepper to taste","stir, taste","beer, cayenne, mustard, pepper, salt, sugar"
simmer until liquid has mostly cooked away,cook,liquid
"lay slices of cheese over top of meat , then cover for about 5 minutes , with heat on very low , until cheese has melted","cover, lie, melt","cheese, heat, meat, minutes, slices, top"
"serve hot , on sandwich buns or bread , or over hot potatoes or rice",serve,"bread, hot potatoes, rice, sandwich, sandwich buns"
cook pasta and set aside,"cook, set",pasta
"place onions , dill pickles , olives , water chestnuts , chives and peppers in a bowl",,"bowl, chives, dill, dill pickles, olives, peppers, place, place onions, water, water chestnuts"
"add oil , vinegar and spices",add,"oil, spices, vinegar"
marinate for 15-20 minutes or so,marinate,minutes
"add pasta , tomatoes , meat and cheese and toss lightly","add, toss","cheese, meat, pasta, tomatoes"
deep fry french fries according to package directions,accord,"deep fry french fries, package, package directions"
"drain well on paper towels , and transfer to a serving platter","drain, serve, transfer","paper, paper towels, serving platter"
"season with salt and pepper , then sprinkle on remaining ingredients","remain, sprinkle","pepper, remaining ingredients, salt, season"
serve with your favorite condiments,serve,favorite condiments
lay out sandwich rolls on jelly roll pans / cookie sheets,lie,"cookie, cookie sheets, jelly roll, roll pans, sandwich, sandwich rolls"
"melt butter , mix in italian dressing mix","melt, mix","butter, dressing, italian dressing mix"
"using a pastry or bbq brush , graciously apply seasoned butter to the top of the""bottom bun"" and the top of the top bun","apply, use","bbq brush, pastry, seasoned butter, the""bottom bun, top, top bun"
"don't miss this step , i don't know why , but it does make a difference !","know, make, miss","difference, step"
here is where i create an assembly line w / the bottoms of the buns,create,"assembly, assembly line, bottoms, buns"
